code;name;baseidd;region;idd;time_start;time_end;opening_date;zone;s_stat;phone;phoneext;email;addr
80;м-н Магнитогорск Гостиный Двор;0000690;Урал;00005550003142441;10:00;21:00;2007-08-10 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1352;rozn90@gloria-jeans.ru;г.Магнитогорск, К.Маркса, 153, ТЦ Гостиный Двор
42;м-н Мытищи ТЦ Красный Кит;0000710;Центральный регион;00005550003184788;10:00;23:00;2006-04-05 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1365;rozn710@gloria-jeans.ru;г.Мытищи, Шараповский проезд вл.2
266;м-н Владимир ТЦ Мегаторг;0000922;Центральный регион;00005550003194912;10:00;22:00;2009-11-27 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1050;rozn922@gloria-jeans.ru;г. Владимир, ул. Тракторная 45
267;м-н Курган ТЦ Пушкинский;0000923;Урал;00005550003194913;10:00;22:00;2010-01-29 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1339;rozn923@gloria-jeans.ru;г. Курган, ул. Пушкина 25
268;м-н Краснодар ТЦ Красная площадь;0000924;Южный регион;00005550003194914;10:00;22:00;2009-10-31 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1330;rozn924@gloria-jeans.ru;г. Краснодар, ул. им. Дзержинского 100
272;м-н Тюмень Республики Первомайская;0000928;Урал;00005550003194918;10:00;20:00;2009-12-05 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1297;rozn928@gloria-jeans.ru;г. Тюмень, ул. Республики 42/3
273;м-н Великий Новгород ТД Русь;0000929;Северо-Западный регион;00005550003194919;10:00;21:00;2009-10-27 00:00:00.000;UTC +03:00;Подготовка к закрытию;+7-8162-94-89-58;1046;rozn929@gloria-jeans.ru;г. Великий Новгород, ул. Большая Санкт-Петербургская 25
276;м-н Калуга ТЦ Торговый Квартал;0000932;Центральный регион;00005550003194922;10:00;22:00;2010-02-14 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1099;rozn932@gloria-jeans.ru;г. Калуга, Московский р-н, ул. Московская 338а
277;м-н Москва ТЦ Вива;0000933;Центральный регион;00005550003194923;10:00;22:00;2010-05-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1373;rozn933@gloria-jeans.ru;г. Москва, ул. Полян, 8
279;м-н Омск ТЦ Мега;0000935;Сибирь;00005550003194925;10:00;22:00;2010-03-04 00:00:00.000;UTC +06:00;Действует;8-800-500-82-82;1217;rozn935@gloria-jeans.ru;г. Омск, бульвар Архитекторов 35
280;м-н Москва ТЦ Севастопольский;0000936;Центральный регион;00005550003194926;09:00;22:00;2009-12-09 00:00:00.000;UTC +03:00;Подготовка к закрытию;8-800-500-82-82;1378;rozn936@gloria-jeans.ru;г. Москва, Севастопольский пр-т 11E
282;м-н Прохладный Свободы;0000938;Южный регион;00005550003194928;09:00;19:00;2009-11-26 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1233;rozn938@gloria-jeans.ru;г. Прохладный, ул. Свободы 139а
284;м-н Тверь ТЦ Карусель;0000940;Центральный регион;00005550003194930;10:00;22:00;2009-12-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1285;rozn940@gloria-jeans.ru;г. Тверь, ул. Коминтерна 20/1
286;м-н Улан-Удэ ТЦ Сагаан Морин;0000942;Сибирь;00005550003194932;10:00;20:00;2009-12-08 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1421;rozn942@gloria-jeans.ru;г. Улан-Удэ, ул. Гагарина 25
287;м-н Рыбинск ТЦ Космос 0-8;0000943;Центральный регион;00005550003194933;10:00;20:00;2012-09-19 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1245;rozn943@gloria-jeans.ru;г. Рыбинск, ул. М. Горького, д.10
289;м-н Москва ТЦ Спектр;0000945;Центральный регион;00005550003194935;10:00;22:00;2010-04-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1380;rozn945@gloria-jeans.ru;г. Москва, Новоясеневский проспект 1
291;м-н Чита ТЦ Макси;0000947;Сибирь;00005550003194937;10:00;22:00;2010-02-09 00:00:00.000;UTC +09:00;Действует;8-800-500-82-82;1435;rozn947@gloria-jeans.ru;г. Чита, ул. Шилова 100
292;м-н Одесса ТЦ Ривьера;0000948;Украина;00005550003194938;10:00;22:00;2010-02-12 00:00:00.000;UTC +03:00;Действует;+380-48-796-52-80;1211;rozn948@gloria-jeans.ru;Одеська обл., Комінтернівський район, сільська рада Фонтанська, комплекс будівель і споруд, 1
294;м-н Чебоксары ТЦ Мегамолл;0000950;Поволжье;00005550003194940;10:00;21:00;2009-12-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1428;rozn950@gloria-jeans.ru;г. Чебоксары, ул. Калинина 105а
295;м-н Волгоград ТЦ Диамант;0000951;Южный регион;00005550003194941;10:00;21:00;2010-01-29 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1055;rozn951@gloria-jeans.ru;г. Волгоград, пл. Дзержинского 1Б
296;м-н Самара ТЦ Вива Лэнд;0000952;Поволжье;00005550003194942;10:00;20:00;2010-02-06 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1259;rozn952@gloria-jeans.ru;г. Самара, Кировский р-н., Проспект Кирова 147
297;м-н Красноярск ТЦ Июнь;0000953;Сибирь;00005550003194943;10:00;22:00;2010-03-07 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1335;rozn953@gloria-jeans.ru;г. Красноярск, ул. Партизана Железняка 23
298;м-н Уфа Октября;0000954;Поволжье;00005550003194944;10:00;20:00;2009-12-28 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1424;rozn954@gloria-jeans.ru;г. Уфа, Октябрьский район, пр-т Октября 65
301;м-н Балаково ТЦ Оранж;0000957;Поволжье;00005550003194947;09:00;21:00;2010-01-06 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1031;rozn957@gloria-jeans.ru;г.Балаково. ул. Волжская 100
302;м-н Пенза ТЦ Ритейл Парк;0000958;Поволжье;00005550003194948;09:00;21:00;2010-02-28 00:00:00.000;UTC +03:00;Подготовка к закрытию;+7-8412-20-34-33;1226;rozn958@gloria-jeans.ru;г. Пенза, ул. Центральная 1
304;м-н Нижний Тагил ТЦ Пассаж;0000960;Урал;00005550003194950;10:00;21:00;2010-02-28 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1396;rozn960@gloria-jeans.ru;г. Нижний Тагил, ул. Ленина 22
305;м-н Челябинск ТЦ Фокус;0000961;Урал;00005550003194951;10:00;22:00;2010-03-15 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1431;rozn961@gloria-jeans.ru;г. Челябинск, ул. Молдавская 16
307;м-н Белгород ТЦ Сити Молл;0000963;Центральный регион;00005550003200196;10:00;22:00;2010-04-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1037;rozn963@gloria-jeans.ru; г.Белгород, с.Дубовое, ул. Щорса, 64
309;м-н Краснодар 40 лет Победы;0000965;Южный регион;00005550003200198;10:00;21:00;2010-02-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1325;rozn965@gloria-jeans.ru;г. Краснодар, Прикубанский округ, ул. Им. 40-летия Победы 146/2
387;м-н Томск ТЦ Манеж;0001154;Сибирь;00005550003271836;10:00;21:00;2010-08-25 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1291;rozn1154@gloria-jeans.ru;г. Томск, ул. Беринга 10
369;м-н Тосно Ленина;0001136;Северо-Западный регион;00005550003271837;10:00;21:00;2010-07-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1292;rozn1136@gloria-jeans.ru;Ленинградская область, г. Тосно, пр. Ленина, д. 44
388;м-н Уфа ТЦ Простор;0001155;Поволжье;00005550003271839;10:00;21:00;2010-10-24 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1529;rozn1155@gloria-jeans.ru;г. Уфа, ул. Маршала Жукова 29
371;м-н Хабаровск ТЦ Магнит;0001138;Дальний Восток;00005550003271840;10:00;21:00;2010-08-14 00:00:00.000;UTC +10:00;Действует;8-800-500-82-82;1427;rozn1138@gloria-jeans.ru;г. Хабаровск, ул. Ленинградская 28
372;м-н Пенза ТЦ Сан Март;0001139;Поволжье;00005550003271842;09:00;21:00;2010-10-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1052;rozn1139@gloria-jeans.ru;г. Пенза, ул. Плеханова 19
391;м-н Казань ТЦ Тандем;0001158;Поволжье;00005550003271845;10:00;22:00;2010-09-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1096;rozn1158@gloria-jeans.ru;г. Казань, пр. Ибрагимова 56
375;м-н Тамбов ТЦ Плаза;0001142;Центральный регион;00005550003271848;09:00;19:00;2010-06-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1282;rozn1142@gloria-jeans.ru;г. Тамбов, ул. Октябрьская 16А / Носовская 10А
395;м-н Димитровград ТЦ Арбат;0001162;Поволжье;00005550003271853;09:00;20:00;2010-09-09 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1067;rozn1162@gloria-jeans.ru;г. Димитровград, ул. Автостроителей 51 В
396;м-н Екатеринбург Ленина;0001163;Урал;00005550003271854;10:00;21:00;2010-11-16 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1212;rozn1163@gloria-jeans.ru;г.Екатеринбург пр. Ленина 53
377;м-н Великие Луки ТЦ Апельсин;0001144;Северо-Западный регион;00005550003271856;10:00;21:00;2010-08-26 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1045;rozn1144@gloria-jeans.ru;г. Великие Луки, ул. Вокзальная 11
378;м-н Мурманск ТЦ Детский Мир;0001145;Северо-Западный регион;00005550003271857;10:00;21:00;2010-08-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1383;rozn1145@gloria-jeans.ru;г. Мурманск, Октябрьский округ, пр-т Ленина 48
382;м-н Кемерово Ленина;0001149;Сибирь;00005550003271861;10:00;21:00;2010-10-05 00:00:00.000;UTC +07:00;Подготовка к закрытию;+7-3842-65-70-23;1461;rozn1149@gloria-jeans.ru;г. Кемерово, проспект Ленина 125
385;м-н Краснодар ТЦ Галактика;0001152;Южный регион;00005550003271864;10:00;22:00;2010-11-03 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1446;rozn1152@gloria-jeans.ru;г. Краснодар, ул. Стасова\Сормовская 178-180\1
398;м-н Воронеж ТЦ Арена;0001165;Центральный регион;00005550003271865;10:00;22:00;2010-11-16 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1452;rozn1165@gloria-jeans.ru;г. Воронеж, бульвар Победы 23б
399;м-н Тула ТЦ Рио;0001166;Центральный регион;00005550003271866;10:00;22:00;2010-11-12 00:00:00.000;UTC +03:00;Подготовка к закрытию;8-800-500-82-82;1450;rozn1166@gloria-jeans.ru;г.Тула, ул. Пролетарская 22а
102;м-н Сергиев Посад Вознесенская;0000720;Центральный регион;00005550003234608;10:00;22:00;2007-11-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1268;rozn720@gloria-jeans.ru;г.Сергиев Посад, ул. Вознесенская, 32
358;м-н Волгодонск Строителей;0000616;Южный регион;00005550003234836;09:00;20:00;2009-12-31 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1987;rozn16@gloria-jeans.ru;г.Волгодонск, ул. Строителей 21
344;м-н Альметьевск Ленина;0001113;Поволжье;00005550003203709;10:00;21:00;2010-08-17 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1024;rozn1113@gloria-jeans.ru;г. Альметьевск, ул. Ленина 123 В
346;м-н Иваново ТЦ Серебряный Город;0001115;Центральный регион;00005550003203711;10:00;22:00;2010-06-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1087;rozn1115@gloria-jeans.ru;г. Иваново, ул. 8 Марта 32
347;м-н Казань ТЦ Детский Мир;0001116;Поволжье;00005550003203712;10:00;22:00;2010-06-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1913;rozn1116@gloria-jeans.ru;г. Казань, ул. Петербургская 9
78;м-н Омск Провиант;0000687;Сибирь;00005550003015639;10:00;21:00;2007-07-31 00:00:00.000;UTC +06:00;Действует;8-800-500-82-82;1215;rozn87@gloria-jeans.ru;г.Омск, ул.К.Маркса, 10
104;м-н Кемерово АЛПИ;0000723;Сибирь;00005550003016862;10:00;21:00;2007-11-25 00:00:00.000;UTC +07:00;Временно не работает;8-800-500-82-82;1314;rozn723@gloria-jeans.ru;г. Кемерово, Октябрьский пр-т, 34, ТЦ АЛЛИ(Лапландия)
61;м-н С.-Петербург Июнь;0000670;Северо-Западный регион;00005550003017089;10:00;22:00;2007-01-31 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1247;rozn70@gloria-jeans.ru;г.Санкт-Петербург, Индустриальный пр. 24 лит.А
171;м-н С.-Петербург Нарвский Универмаг;0000799;Северо-Западный регион;00005550003017207;10:00;21:00;2008-07-10 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1980;rozn799@gloria-jeans.ru;г.Санкт-Петербург, Ленинский пр. 138/5
99;м-н Тольятти ТЦ Парк Хаус;0000721;Поволжье;00005550003028468;10:00;22:00;2007-11-09 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1288;rozn721@gloria-jeans.ru;г.Тольятти, Автозаводское шоссе 6
88;м-н Тольятти ТЦ Аэрохолл;0000697;Поволжье;00005550003028469;10:00;21:00;2007-09-30 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1287;rozn97@gloria-jeans.ru;г.Тольятти, ул.Баныкина, д.74
238;м-н Рязань ТЦ Виктория Плаза;0000893;Центральный регион;00005550003030716;10:00;22:00;2009-08-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1246;rozn893@gloria-jeans.ru;г.Рязань, пр-т Первомайский 70, корп.1
240;м-н С.-Петербург Садовая;0000895;Северо-Западный регион;00005550003030718;10:00;22:00;2009-08-09 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1253;rozn895@gloria-jeans.ru;г.Санкт-Петербург, ул.Садовая 32/1
242;м-н Барнаул ТЦ Алтай;0000897;Сибирь;00005550003030720;10:00;21:00;2009-08-22 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1033;rozn897@gloria-jeans.ru;г.Барнаул, пр-т Космонавтов 6в
244;м-н Нефтеюганск ТЦ Купец;0000899;Урал;00005550003030722;10:00;20:00;2009-09-19 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1389;rozn899@gloria-jeans.ru;г.Нефтеюганск, 10-й микрорайон 19
245;м-н Нижневартовск ТЦ Подсолнух;0000900;Урал;00005550003030723;10:00;21:00;2009-09-21 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1390;rozn900@gloria-jeans.ru;г.Нижневартовск, ул.Интернациональная 73
247;м-н Невинномысск Гагарина;0000902;Южный регион;00005550003030725;09:00;20:00;2009-09-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1387;rozn902@gloria-jeans.ru;г.Невинномысск, ул.Гагарина 51
250;м-н Ростов ТЦ Золотой Вавилон;0000905;Южный регион;00005550003030728;10:00;22:00;2009-11-21 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1975;rozn905@gloria-jeans.ru;г. Ростов-на-Дону, ул. Малиновского 25
256;м-н Тюмень ТЦ Солнечный;0000911;Урал;00005550003030734;10:00;22:00;2009-10-15 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1299;rozn911@gloria-jeans.ru;г. Тюмень, ул. Пермякова-Логунова 50Б
191;м-н Киев Маршала Гречко;0000819;Украина;00005550002677971;09:00;20:00;2008-08-11 00:00:00.000;UTC +02:00;Действует;+380-44-238-80-87;1315;rozn819@gloria-jeans.ru;м.Київ, вул.Боровинська, 224
196;м-н Элиста ТЦ Гостиница Элиста;0000824;Южный регион;00005550002707121;09:00;20:00;2008-08-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1439;rozn824@gloria-jeans.ru;г.Элиста, ул.Ленина 241 корп. 1
217;м-н Новороссийск Дзержинского;0000845;Южный регион;00005550002811403;09:00;21:00;2008-10-03 00:00:00.000;UTC +03:00;Подготовка к закрытию;+7-8617-61-51-32;1410;rozn845@gloria-jeans.ru;г.Новороссийск, пр-т Дзержинского 205-б
100;м-н Кострома ТЦ Коллаж;0000726;Центральный регион;00005550002859412;10:00;22:00;2007-11-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1324;rozn726@gloria-jeans.ru;п.Караваево, Красносельское шоссе, д.1
70;м-н Ярославль ТЦ Ярославский Вернисаж;0000682;Центральный регион;00005550002859414;10:00;22:00;2007-04-27 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1443;rozn82@gloria-jeans.ru;п.Нагорный, Дорожная улица, д.6А
56;м-н Ярославль Альтаир;0000668;Центральный регион;00005550002859415;10:00;21:00;2006-12-21 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1442;rozn68@gloria-jeans.ru;г.Ярославль, Ленинградская улица, д. 123
165;м-н Салават ТЦ Гостинный Двор;0000793;Поволжье;00005550002867745;10:00;20:00;2008-06-28 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1257;rozn793@gloria-jeans.ru;Республика Башкортостан, г.Салават, ул.Ленина 42
138;м-н Нефтекамск Ленина;0000773;Поволжье;00005550002867746;10:00;20:00;2008-04-11 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1388;rozn773@gloria-jeans.ru;г.Нефтекамск ул.Ленина 26
121;м-н Орел ТЦ Мега ГриНН;0000744;Центральный регион;00005550002312754;10:00;22:00;2008-02-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1220;rozn744@gloria-jeans.ru;г.Орел, Кромское ш., 4
144;м-н Самара ТЦ Мега;0000756;Поволжье;00005550002351084;10:00;22:00;2012-02-09 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1652;rozn756@gloria-jeans.ru;г.Самара, Московское ш., 24-й км, стр. 5
135;м-н Краснодар ТЦ Мега;0000760;Южный регион;00005550002375642;10:00;22:00;2008-05-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1887;rozn760@gloria-jeans.ru;Республика Адыгея,аул Новая Адыгея,ул.Тургеневское шоссе 27
158;м-н Старый Оскол ТЦ Боше;0000786;Центральный регион;00005550002475865;10:00;21:00;2008-05-19 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1275;rozn786@gloria-jeans.ru;Белгородская область, г.Старый Оскол, м-н Ольминского 17
159;м-н Ровно ТЦ Экватор;0000787;Украина;00005550002497715;10:00;22:00;2008-05-13 00:00:00.000;UTC +02:00;Подготовка к закрытию;+380-36-246-00-82;1236;rozn787@gloria-jeans.ru;м. Рівне, вул. Макарова, 23
164;м-н Северодонецк ТЦ Джазз;0000792;Украина;00005550002568331;10:00;20:00;2008-06-04 00:00:00.000;UTC +03:00;Действует;+380-64-570-40-87;1267;rozn792@gloria-jeans.ru;м. Сєвєродонецьк, пр.-т Центральний, 46 (пр-т Радянський, 46)
168;м-н Пенза ЦУМ;0000796;Поволжье;00005550002583258;09:00;21:00;2008-10-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1227;rozn796@gloria-jeans.ru;г.Пенза, ул.Кирова 73
5;м-н Ростов Северный;0000604;Южный регион;00000010000983976;09:00;21:00;2002-04-10 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1970;rozn4@gloria-jeans.ru;г.Ростов-на-Дону, ул.Волкова 6
6;м-н Ростов Сельмаш ДК;0000605;Южный регион;00000010000989355;10:00;21:00;2002-07-07 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1241;rozn5@gloria-jeans.ru;г.Ростов-на-Дону, пр.Сельмаш 20/51
47;м-н Екатеринбург Отрадная;0000661;Урал;00005550000133384;10:00;22:00;2006-10-07 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1076;rozn61@gloria-jeans.ru;г. Екатеринбург, ул. Металлургов 87
49;м-н Нижний Новгород Мега;0000662;Центральный регион;00005550000140420;10:00;22:00;2006-10-19 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1393;rozn62@gloria-jeans.ru;Кстовский р-н, д.Федяково
29;м-н Анапа;0000639;Южный регион;00005550001523969;09:00;21:00;2005-08-06 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1025;rozn39@gloria-jeans.ru; г.Анапа, ул. Крымская 182
31;м-н Новочеркасск Московская;0000640;Южный регион;00005550001543195;09:00;21:00;2005-09-13 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1418;rozn40@gloria-jeans.ru;г. Новочеркасск, ул. Московская, 10/20
32;м-н Каменск-Шахтинский К. Маркса;0000643;Южный регион;00005550001543197;09:00;19:00;2005-10-09 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1312;rozn43@gloria-jeans.ru;г. Каменск-Шахтинский, пр. Карла-Маркса, 68
98;м-н Волгоград ТЦ Реал;0000685;Южный регион;00005550002162209;10:00;21:00;2007-11-02 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1053;rozn85@gloria-jeans.ru;г. Волгоград, ул. Историческая 175, ТЦ РЕАЛ
85;м-н Курск Манеж;0000692;Центральный регион;00005550002229062;10:00;22:00;2007-09-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1340;rozn92@gloria-jeans.ru;г.Курск, ул.Щепкина, 4б
149;м-н Оренбург ТЦ Ликос;0000771;Поволжье;00005550002969460;10:00;22:00;2008-04-04 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1222;rozn771@gloria-jeans.ru;г.Оренбург, ул.Новая 4
175;м-н Саров ТЦ Плаза;0000803;Центральный регион;00005550002872574;10:00;21:00;2008-07-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1264;rozn803@gloria-jeans.ru;г.Саров, ул.Московская 5, стр 1
34;м-н Казань Мега;0000644;Поволжье;00005550002873272;10:00;22:00;2005-11-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1094;rozn44@gloria-jeans.ru;г. Казань,  Пр. Победы, 141
68;м-н Набережные Челны Торговый квартал;0000679;Поволжье;00005550002874637;09:00;22:00;2007-04-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1384;rozn79@gloria-jeans.ru;г.Набережные Челны, просп. Мира 3
194;м-н Набережные Челны ТЦ Эссен;0000822;Поволжье;00005550002874638;09:00;21:00;2008-09-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1385;rozn822@gloria-jeans.ru;г.Набережные Челны, пр.Яшьлек 14
212;м-н Нижний Новгород ТРЦ Фантастика;0000840;Центральный регион;00005550002884153;10:00;22:00;2008-11-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1395;rozn840@gloria-jeans.ru;г.Нижний Новгород, ул.Родионова 187
142;м-н Новокуйбышевск ТЦ Форум;0000783;Поволжье;00005550002959109;10:00;22:00;2008-05-05 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1399;rozn783@gloria-jeans.ru;Самарская обл., г.Новокуйбышевск, Проспект Победы, квартал 22
133;м-н Сызрань ТЦ Монгора;0000770;Поволжье;00005550002959110;09:00;21:00;2008-03-29 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1278;rozn770@gloria-jeans.ru;Самарская обл., г.Сызрань, пр. 50 лет Октября 54а
227;м-н Москва ТЦ Щука;0000855;Центральный регион;00005550002990301;10:00;22:00;2009-06-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1381;rozn855@gloria-jeans.ru;г.Москва, ул.Щукинская 42
87;м-н Омск Кристалл;0000689;Сибирь;00005550003015638;10:00;20:00;2007-09-28 00:00:00.000;UTC +06:00;Действует;8-800-500-82-82;1213;rozn89@gloria-jeans.ru;г.Омск, ТЦ Кристалл, пр.Мира, 19
140;м-н Коломна ТЦ Рио;0000741;Центральный регион;00005550003036299;10:00;22:00;2008-06-27 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1321;rozn741@gloria-jeans.ru;Московская обл. г. Коломна, ул. Октябрьской революции 362
123;м-н Калуга Кирова;0000752;Центральный регион;00005550003036300;09:00;21:00;2008-03-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1098;rozn752@gloria-jeans.ru;г.Калуга, ул.Кирова 56
